stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6805031299591064,-0.5811863988637924,-5.347447752952576,0.6576139181852341,0.714285671710968,78745188.0,-0.5938485264778137,-5.401453971862793,0.1150617577389412
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.6893081665039062,-0.6289080679416656,-5.492185950279236,0.6585993319749832,0.714285671710968,78939406.0,-0.641629695892334,-5.549110412597656,0.12659985278370714
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.698113203048706,-0.6778672635555267,-5.628612160682678,0.6598791778087616,0.714285671710968,79129200.0,-0.6903326511383057,-5.691756725311279,0.13955199521267878
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7069182395935059,-0.7279906719923019,-5.7565553188323975,0.6614386737346649,0.714285671710968,79315876.0,-0.7419556379318237,-5.818536758422852,0.15473024268504815
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7157232761383057,-0.7792006283998489,-5.875416159629822,0.6632650047540665,0.714285671710968,79501846.0,-0.7935791611671448,-5.945319175720215,0.17155952268032904
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7245283126831055,-0.8314133137464523,-5.984312415122986,0.6653444021940231,0.714285671710968,79686494.0,-0.8453841209411621,-6.06988525390625,0.19028828219279417
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7333333492279053,-0.8845363110303879,-6.082200765609741,0.6676585525274277,0.714285671710968,79872224.0,-0.9000403881072998,-6.15976619720459,0.21226865889024404
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7421383857727051,-0.9384684562683105,-6.168093323707581,0.6701807528734207,0.714285671710968,80058052.0,-0.9546972513198853,-6.249648094177246,0.23678829164449272
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7509434223175049,-0.993100106716156,-6.241085529327393,0.6728733628988266,0.714285671710968,80245158.0,-1.009353518486023,-6.339528560638428,0.26413992774060474
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7597483992576599,-1.048313707113266,-6.3002849817276,0.6756855845451355,0.714285671710968,80433672.0,-1.0656609535217285,-6.389153480529785,0.2956256216633937
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7685534358024597,-1.1039843261241913,-6.3448944091796875,0.6785537451505661,0.714285671710968,80623412.0,-1.1221935749053955,-6.433289527893066,0.3310134817432029
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.7773584723472595,-1.1599801778793335,-6.374161124229431,0.6814027726650238,0.714285671710968,80811030.0,-1.178726077079773,-6.477425575256348,0.370637356653118
