stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,0,2000,4.0,1.232054750675976,3.567242113079158,5.0,0.1875,0.3645833333333333,0.4479166666666667,86.94339622641509,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,0.0,1.4929589744133196,8.833710889298077,0.0,1.0,0.0,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,0.4,3.9488329805882705,11.227040812003525,0.0,0.9166666666666666,0.08333333333333333,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,0.8,3.30252633776128,9.916003135391966,0.0,0.6770833333333334,0.28125,0.041666666666666664,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,1.2,2.597995319684185,7.554857430213043,0.0,0.4791666666666667,0.34375,0.17708333333333334,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,1.6,2.1860721367377147,6.139605391992077,0.0,0.4270833333333333,0.2916666666666667,0.28125,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,2.0,1.9797486356113767,5.5434425573613515,0.0,0.375,0.23958333333333334,0.3854166666666667,96.0,0.010416666666666666
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,2.4,1.7383667681675175,4.820083335810031,3.0,0.3229166666666667,0.2916666666666667,0.3854166666666667,90.3529411764706,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,2.8000000000000003,1.6296924945683842,4.55379228168326,5.0,0.2604166666666667,0.3541666666666667,0.3854166666666667,86.94339622641509,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,3.2,1.4598816302276072,4.151748184410947,6.0,0.22916666666666666,0.2604166666666667,0.5104166666666666,86.94339622641509,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,3.6,1.3151753827035337,3.781611124329957,7.0,0.1875,0.3125,0.5,85.33333333333333,0.020833333333333332
smoke,fr_estimated,b1_h4_w2_n7_a1.5,1.0,4.0,49,1,2000,4.0,1.2188704383807742,3.5832764166379594,9.0,0.19791666666666666,0.25,0.5520833333333334,82.28571428571428,0.020833333333333332
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,0.0,0.3543396435936745,2.1384304588239007,0.0,1.0,0.0,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,0.4,0.46794680235148095,1.5836765414006293,0.0,0.9791666666666666,0.020833333333333332,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,0.8,0.4112194928634878,1.7192846562801618,0.0,0.9583333333333334,0.041666666666666664,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,1.2,2.1814121978162198,11.65192736956073,0.0,0.90625,0.09375,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,1.6,1.5633237480715054,9.60569207618391,3.0,0.8020833333333334,0.19791666666666666,0.0,90.3529411764706,0.020833333333333332
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,2.0,1.431599888241473,8.385582931480421,4.0,0.75,0.23958333333333334,0.010416666666666666,88.61538461538461,0.020833333333333332
smoke,fr_estimated,b4_h1_w2_n7_a1.5,4.0,1.0,49,0,2000,2.4,0.7579550357904872,2.920502941447049,4.0,0.7083333333333334,0.2604166666666667,0.03125,88.61538461538461,0.020833333333333332
